"CAMPAIGN_ID"|"CAMPAIGN_NAME"|"CAMPAIGN_SUBJECT"|"CAMPAIGN_TYPE"|"CAMPAIGN_DATE"|"CAMPAIGN_NOTES"
"AJBSQ02N-00265M"|"BP_230725_ODV_PRINCIPALE"|"Réservez vos vacances dés 56€ en Corse, dés 235€ en Portugal & Espagne"|""|"2023-07-25 18:30:00"|"dem§moyo§circuits§sejours§vols§hotel"
"AJBSQ02N-00265N"|"BP_230725_ODV_SECONDAIRE"|"Réservez vos vacances dés 56€ en Corse, dés 235€ en Portugal & Espagne"|""|"2023-07-25 18:30:00"|"dem§moyo§circuits§sejours§vols§hotel"
"AJBSQ02N-00265O"|"DEM_230728_TUI_AB_TEST_01"|"??Clubs en all inclusive : Tunisie dès 443E | le Maroc dès 629E | le Portugal dès 457E"|""|"2023-07-28 12:09:00"|"§tui§it§es§pt§tn§es§ma§gr§eurosudmed§afrdunord§club§sejours"
"AJBSQ02N-00265S"|"DEM_230726_LIDL_ AB_TEST_02"|"??L'Egypte, Grèce, Monténégro, Maroc, Majorque... Dès 267E"|""|"2023-07-26 11:30:00"|"dem§lidl§gr§it§mlt§es§tn§ma§pt§eurosudmed§afrdunord§sejours"
"AJBSQ02N-00265U"|"DEM_230727_LCAF_AB_TEST_01"|"? Faites le plein de vacances en 5?dès189€ en Tunisie, dès 409€ en Grèce, dès 289€ au Portugal.."|""|"2023-07-27 12:37:00"|"collaf§gr§eurosudmed§gr§tn§afrdunord§nyc§usa§egy§pt§it§"
"AJBSQ02N-002667"|"DEM_230726_LIDL_ OVERRIDECERTIF+"|"Pause vacances : Tunisie en 5? dès 359E, séjour authentique à Monténégro dès 480E, l'Italie dès 214E..."|""|"2023-07-26 18:30:00"|"dem§lidl§gr§it§mlt§es§tn§ma§pt§eurosudmed§afrdunord§sejours"
"AJBSQ02N-002669"|"DEM_230726_LIDL_ CERTIF+"|"Pause vacances : Tunisie en 5? dès 359E, séjour authentique à Monténégro dès 480E, l'Italie dès 214E..."|""|"2023-07-26 18:30:00"|"dem§lidl§gr§it§mlt§es§tn§ma§pt§eurosudmed§afrdunord§sejours"
"AJBSQ02N-00266A"|"DEM_230726_LIDL_ WELCOME"|"Pause vacances : Tunisie en 5? dès 359E, séjour authentique à Monténégro dès 480E, l'Italie dès 214E..."|""|"2023-07-26 18:30:00"|"dem§lidl§gr§it§mlt§es§tn§ma§pt§eurosudmed§afrdunord§sejours"
"AJBSQ02N-00266B"|"DEM_230726_LIDL_ REACTIVATION "|"Pause vacances : Tunisie en 5? dès 359E, séjour authentique à Monténégro dès 480E, l'Italie dès 214E..."|""|"2023-07-26 18:30:00"|"dem§lidl§gr§it§mlt§es§tn§ma§pt§eurosudmed§afrdunord§sejours"
"AJBSQ02N-00266E"|"DEM_230727_LCAF_AB_TEST_02"|"??L'Italie, New York, Portugal... Dès 239E"|""|"2023-07-27 12:38:00"|"collaf§gr§eurosudmed§gr§tn§afrdunord§nyc§usa§egy§pt§it§"
"AJBSQ02N-00266V"|"DEM_230727_LCAF_OVERRIDECERTIF+"|"??L'Italie, New York, Portugal... Dès 239E"|""|"2023-07-27 18:30:00"|"collaf§gr§eurosudmed§gr§tn§afrdunord§nyc§usa§egy§pt§it§"
"AJBSQ02N-00266Y"|"DEM_230727_LCAF_CERTIF+"|"??L'Italie, New York, Portugal... Dès 239E"|""|"2023-07-27 18:30:00"|"collaf§gr§eurosudmed§gr§tn§afrdunord§nyc§usa§egy§pt§it§"
"AJBSQ02N-00267C"|"DEM_230728_TUI_AB_TEST_02"|"Offre exceptionnelle : L'Espagne en tout compris dès 555E | le Portugal dès 457E | la Bulgarie en 4* dès 694E"|""|"2023-07-28 12:11:00"|"§tui§it§es§pt§tn§es§ma§gr§eurosudmed§afrdunord§club§sejours"
"AJBSQ02N-00267D"|"BP_230729_GEOLOC_PRINCIPALE"|"{{= target.properties.get("Objet") }}"|""|"2023-07-29 11:00:00"|"bp§sejours§afrdunord§eurosudmed§moyo§egy§gr§ma§tn§pt§hr§it§es"
"AJBSQ02N-00267E"|"BP_230729_GEOLOC_SECONDAIRE"|"{{= target.properties.get("Objet") }}"|""|"2023-07-29 11:00:00"|"bp§sejours§afrdunord§eurosudmed§moyo§egy§gr§ma§tn§pt§hr§it§es"
"AJBSQ02N-00267F"|"DEM_230728_TUI_OVERRIDECERTIF+"|"Offre exceptionnelle : L'Espagne en tout compris dès 555E | le Portugal dès 457E | la Bulgarie en 4* dès 694E"|""|"2023-07-28 18:30:00"|"§tui§it§es§pt§tn§es§ma§gr§eurosudmed§afrdunord§club§sejours"
"AJBSQ02N-00267G"|"DEM_230728_TUI_CERTIF+"|"Offre exceptionnelle : L'Espagne en tout compris dès 555E | le Portugal dès 457E | la Bulgarie en 4* dès 694E"|""|"2023-07-28 18:30:00"|"§tui§it§es§pt§tn§es§ma§gr§eurosudmed§afrdunord§club§sejours"
"AJBSQ02N-00267N"|"ActuDuVoyage_2023-07-30_B"|"La nouveauté Air France : un service de dépose bagages est maintenant disponible à Paris • Envie de lire à la plage ?  L’activité gratuite à découvrir cet été en Vendée • Envie de boire un verre en bord de mer, les pieds dans le sable ? Nos meilleures recommandations en Vendée"|""|"2023-07-30 06:00:00"|"actu"
"AJBSQ02N-00267U"|"ActuDuVoyage_2023-08-01_Test"|"Les 3 meilleurs coffee shops d'Amsterdam (et on ne va pas parler de café) . Il peut faire plus de 40 °C en été : 3 spots où se baigner et se rafraîchir à Séville ? . Où trouve-t-on 35 km de plages vierges dans le sud de l'Espagne ?"|""|"2023-08-01 06:00:00"|"actu"
"AJBSQ02N-00267V"|"BP_230801_ODV_AB_TEST_01"|"3 jours en Rome dès 163E, billets de trains à 29E & séjour tout compris aux Canaries & Costa Brava dès 578E"|""|"2023-08-01 11:30:00"|"dem§moyo§circuits§sejours§vols§hotel"
"AJBSQ02N-002681"|"BP_230801_ODV_AB_TEST_02"|"Jusqu'à -77 % au Portugal, jusqu'à -49 % en Thaïlande et jusqu'à -69 % en Italie ..."|""|"2023-08-01 11:30:00"|"dem§moyo§circuits§sejours§vols§hotel"
"AJBSQ02N-002687"|"BP_230801_ODV_PRINCIPALE "|"3 jours en Rome dès 163E, billets de trains à 29E & séjour tout compris aux Canaries & Costa Brava dès 578E"|""|"2023-08-01 18:30:00"|"dem§moyo§circuits§sejours§vols§hotel"
"AJBSQ02N-002688"|"BP_230801_ODV_SECONDAIRE"|"3 jours en Rome dès 163E, billets de trains à 29E & séjour tout compris aux Canaries & Costa Brava dès 578E"|""|"2023-08-01 18:30:00"|"dem§moyo§circuits§sejours§vols§hotel"
